,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
616,1,1,3,200.0,-17.785696,-63.191013,340000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,200.0,1700.0
618,5,4,3,380.0,-17.800671,-63.179977,255000.0,Barrio Aeronautico,Distrito Municipal 4Â ,380.0,671.0526315789474
620,4,4,3,415.0,-17.84557,-63.188717,320000.0,Barrio Guadalupe,Distrito 9Â ,625.0,771.0843373493976
622,4,3,2,300.0,-17.682581,-63.154289,160000.0,Barrio Santa Isabel.,Distrito 5,300.0,533.3333333333334
623,4,5,2,500.0,-17.76009,-63.197002,875000.0,Barrio el Manchon,Distrito Municipal 1,625.0,1750.0
624,3,4,3,250.0,-17.701298,-63.160313,280000.0,Barrio Santa Isabel.,Distrito 5,250.0,1120.0
626,3,3,2,144.0,-17.75351,-63.166325,125000.0,Barrio Chino,Distrito 2,144.0,868.0555555555555
627,8,5,3,422.0,-17.793102,-63.210953,398000.0,Barrio Irma Suarez,Distrito Municipal 1,422.0,943.127962085308
629,4,3,2,161.0,-17.786654,-63.125137,89500.0,Barrio El Condado,Distrito 7,161.0,555.9006211180124
631,3,3,2,303.0,-17.740707,-63.163128,390000.0,Barrio Santa Isabel.,Distrito 5,303.0,1287.1287128712872
632,3,3,2,153.0,-17.724468,-63.182529,100000.0,Barrio Santa Isabel.,Distrito 5,153.0,653.59477124183
634,5,3,2,168.0,-17.701345,-63.146309,93000.0,Barrio Santa Isabel.,Distrito 5,240.0,553.5714285714286
635,3,3,2,176.0,-17.706442,-63.187164,125000.0,Barrio Santa Isabel.,Distrito 5,186.0,710.2272727272727
637,8,7,1,656.0,-17.776991,-63.149364,299700.0,Barrio Chino,Distrito 2,656.0,456.859756097561
638,3,5,2,298.0,-17.82023,-63.222294,225000.0,Barrio el periodista,Distrito 10,298.0,755.0335570469799
639,7,3,3,180.0,-17.80888,-63.098518,97000.0,Barrio El Condado,Distrito 7,360.0,538.8888888888889
641,4,4,2,350.0,-17.799564,-63.187763,285000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,360.0,814.2857142857143
642,3,3,2,187.0,-17.713808,-63.165646,180000.0,Barrio Santa Isabel.,Distrito 5,187.0,962.5668449197861
644,3,2,4,156.0,-17.854559,-63.202194,99500.0,Barrio las americas,Distrito 9Â ,360.0,637.8205128205128
647,2,1,1,115.0,-17.740011,-63.153339,110000.0,Barrio Santa Isabel.,Distrito 5,300.0,956.5217391304348
665,3,2,0,125.46,-17.69812,-63.170249,78500.0,Barrio Santa Isabel.,Distrito 5,176.0,625.6974334449227
666,3,2,0,450.51,-17.781005,-63.092531,96000.0,Barrio El Condado,Distrito 7,450.51,213.0918292601718
667,3,2,2,176.0,-17.818238,-63.138064,105000.0,Barrio San Francisco,Distrito 8,300.0,596.5909090909091
669,5,2,0,148.22,-17.75741,-63.158029,105000.0,Barrio Chino,Distrito 2,248.0,708.4064228849008
671,8,4,7,232.29,-17.813606,-63.143034,105000.0,Barrio San Francisco,Distrito 8,425.0,452.02118042102546
672,2,1,8,180.0,-17.73338599,-63.10150625,105000.0,Barrio La Purisima,Distrito 6,720.0,583.3333333333334
674,3,2,0,165.0,-17.711294,-63.148717,105000.0,Barrio Santa Isabel.,Distrito 5,210.0,636.3636363636364
675,6,5,3,236.0,-17.844776,-63.184774,104597.7,Barrio Guadalupe,Distrito 9Â ,360.0,443.210593220339
677,3,2,2,208.5,-17.73797769,-63.10190667,100574.71,Barrio La Purisima,Distrito 6,338.24,482.3727098321343
678,8,2,0,210.0,-17.805925,-63.134989,100143.68,Barrio 5 de Noviembre,Distrito 7,405.0,476.87466666666666
680,3,5,0,218.0,-17.8125638,-63.09838774,100000.0,Barrio 5 de Noviembre,Distrito 7,329.0,458.7155963302752
681,3,2,0,115.0,-17.707818,-63.187036,99943.39,Barrio Santa Isabel.,Distrito 5,187.0,869.0729565217391
683,4,3,0,170.0,-17.701013,-63.175646,99000.0,Barrio Santa Isabel.,Distrito 5,150.75,582.3529411764706
686,3,1,2,124.8,-17.682909,-63.153775,98500.0,Barrio Santa Isabel.,Distrito 5,220.0,789.2628205128206
687,4,2,0,120.0,-17.777253,-63.161506,98000.0,Barrio Chino,Distrito 2,107.02,816.6666666666666
689,3,3,2,148.0,-17.868575,-63.146969,98000.0,Barrio Ã‘uflo de Chavez,Distrito 12,360.0,662.1621621621622
690,3,2,0,170.0,-17.700596,-63.175941,96000.0,Barrio Santa Isabel.,Distrito 5,150.61,564.7058823529412
691,7,3,0,150.0,-17.73981706,-63.19333797,95545.98,Barrio el Manchon,Distrito Municipal 1,300.0,636.9732
692,3,2,0,150.0,-17.757439,-63.097443,95545.98,Barrio La Purisima,Distrito 6,250.0,636.9732
693,5,3,4,193.0,-17.7512,-63.100126,95545.98,Barrio La Purisima,Distrito 6,405.0,495.05689119170984
695,3,3,0,150.0,-17.704325,-63.087923,95000.0,Barrio La Purisima,Distrito 6,360.0,633.3333333333334
696,4,2,0,187.5,-17.8574782,-63.19312202,95000.0,Barrio las americas,Distrito 9Â ,192.0,506.6666666666667
697,4,2,5,375.0,-17.8451,-63.118923,95000.0,Barrio LAB,Distrito 8,375.0,253.33333333333334
698,3,2,1,114.32,-17.782608,-63.137099,95000.0,Barrio Guaracachi,Distrito 6,135.34,831.000699790063
699,3,2,0,115.68,-17.75731058,-63.09092051,90517.24,Barrio San Jorge,Distrito 6,268.68,782.4795988934993
700,3,2,0,200.0,-17.858064,-63.149174,90517.24,Barrio 25 De Junio,Distrito 12,300.0,452.5862
701,3,2,1,346.0,-17.847244,-63.160014,91594.83,Barrio Casa Nova II,Distrito 12,354.0,264.7249421965318
702,3,2,0,100.0,-17.813645,-63.141355,93000.0,Barrio San Francisco,Distrito 8,375.0,930.0
704,3,3,0,200.0,-17.79446,-63.110236,90517.24,Barrio El Condado,Distrito 7,160.0,452.5862
705,4,2,2,170.0,-17.855857,-63.147642,90416.67,Barrio Ã‘uflo de Chavez,Distrito 12,225.0,531.8627647058823
706,3,3,0,128.0,-17.703139,-63.181592,94000.0,Barrio Santa Isabel.,Distrito 5,174.63,734.375
707,4,2,0,178.0,-17.860165,-63.171942,90000.0,Barrio Florida,Distrito 12,208.69,505.6179775280899
708,3,3,2,140.0,-17.711958,-63.146079,89511.49,Barrio Santa Isabel.,Distrito 5,124.0,639.3677857142858
710,8,4,4,191.03,-17.806538,-63.142178,90129.31,Barrio Los Penocos,Distrito Municipal 3,372.72,471.8070983615139
715,3,2,2,150.0,-17.71206506,-63.17111966,89500.0,Barrio Santa Isabel.,Distrito 5,150.0,596.6666666666666
716,4,4,0,166.0,-17.750875,-63.091412,89127.87,Barrio La Purisima,Distrito 6,250.0,536.9148795180722
719,3,3,0,189.0,-17.737303,-63.097155,89000.0,Barrio La Purisima,Distrito 6,183.0,470.8994708994709
720,3,3,2,112.0,-17.703087,-63.182094,88000.0,Barrio Santa Isabel.,Distrito 5,174.63,785.7142857142857
721,3,3,0,160.0,-17.782403,-63.092551,87000.0,Barrio El Condado,Distrito 7,238.0,543.75
722,3,2,4,150.0,-17.81472101,-63.10415095,89000.0,Barrio 5 de Noviembre,Distrito 7,360.0,593.3333333333334
731,4,2,1,220.0,-17.8455389,-63.10569336,85488.51,Barrio LAB,Distrito 8,417.0,388.58413636363633
732,3,2,0,138.05,-17.72757,-63.144892,85488.51,Barrio Santa Isabel.,Distrito 5,225.6,619.2575878304962
734,4,2,0,168.0,-17.84032,-63.084848,85000.0,Barrio LAB,Distrito 8,361.42,505.95238095238096
735,5,1,0,154.0,-17.76522911,-63.12188393,85000.0,Barrio las Pampita,Distrito 6,285.0,551.9480519480519
738,3,2,2,120.0,-17.702863,-63.146238,84500.0,Barrio Santa Isabel.,Distrito 5,180.0,704.1666666666666
